날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-08-08 16,서울 강남구 ,강남구,111261,0.003,0.4,0.065,0.025,50,29
2016-08-08 17,서울 강남구 ,강남구,111261,0.004,0.3,0.06,0.021,46,36
2016-08-08 18,서울 강남구 ,강남구,111261,0.004,0.4,0.051,0.03,45,31
2016-08-08 19,서울 강남구 ,강남구,111261,0.005,0.5,0.025,0.059,26,23
2016-08-08 20,서울 강남구 ,강남구,111261,0.004,0.4,0.019,0.033,57,31
2016-08-08 21,서울 강남구 ,강남구,111261,0.005,0.5,0.008,0.054,44,44
2016-08-08 22,서울 강남구 ,강남구,111261,0.004,0.6,0.003,0.062,50,35
2016-08-08 23,서울 강남구 ,강남구,111261,0.004,0.4,0.007,0.028,39,27
2016-08-08 24,서울 강남구 ,강남구,111261,0.003,0.3,0.009,0.023,24,15
2016-08-09 01,서울 강남구 ,강남구,111261,0.004,0.3,0.018,0.012,22,16
2016-08-09 02,서울 강남구 ,강남구,111261,0.004,0.3,0.021,0.008,17,12
2016-08-09 03,서울 강남구 ,강남구,111261,0.003,0.3,0.023,0.006,18,9
2016-08-09 04,서울 강남구 ,강남구,111261,0.004,0.3,0.022,0.007,13,13
2016-08-09 05,서울 강남구 ,강남구,111261,0.004,0.3,0.021,0.008,15,8
2016-08-09 06,서울 강남구 ,강남구,111261,0.004,0.3,0.017,0.012,15,15
2016-08-09 07,서울 강남구 ,강남구,111261,0.004,0.3,0.011,0.02,9,4
2016-08-09 08,서울 강남구 ,강남구,111261,0.004,0.3,0.01,0.024,16,9
2016-08-09 09,서울 강남구 ,강남구,111261,0.004,0.3,0.014,0.021,11,6
2016-08-09 10,서울 강남구 ,강남구,111261,0.004,0.4,0.016,0.021,14,14
2016-08-09 11,서울 강남구 ,강남구,111261,0.004,0.4,0.017,0.025,19,8
2016-08-09 12,서울 강남구 ,강남구,111261,0.004,0.3,0.029,0.025,29,21
2016-08-09 13,서울 강남구 ,강남구,111261,0.004,0.4,0.044,0.027,29,20
2016-08-09 14,서울 강남구 ,강남구,111261,0.004,0.4,0.06,0.029,43,26
2016-08-09 15,서울 강남구 ,강남구,111261,0.004,0.4,0.067,0.026,46,29
2016-08-09 16,서울 강남구 ,강남구,111261,0.004,0.4,0.051,0.035,0,0
2016-08-09 17,서울 강남구 ,강남구,111261,0.004,0.5,0.037,0.051,12,6
2016-08-09 18,서울 강남구 ,강남구,111261,0.004,0.6,0.02,0.071,30,21
2016-08-09 19,서울 강남구 ,강남구,111261,0.004,0.7,0.017,0.082,36,28
2016-08-09 20,서울 강남구 ,강남구,111261,0.003,0.6,0.031,0.067,52,39
2016-08-09 21,서울 강남구 ,강남구,111261,0.003,0.5,0.056,0.036,68,49
2016-08-09 22,서울 강남구 ,강남구,111261,0.004,0.5,0.043,0.041,89,72
2016-08-09 23,서울 강남구 ,강남구,111261,0.004,0.5,0.032,0.049,66,57
2016-08-09 24,서울 강남구 ,강남구,111261,0.004,0.6,0.022,0.05,65,54
2016-08-10 01,서울 강남구 ,강남구,111261,0.004,0.6,0.019,0.044,97,70
2016-08-10 02,서울 강남구 ,강남구,111261,0.004,0.6,0.025,0.03,103,74
2016-08-10 03,서울 강남구 ,강남구,111261,0.005,0.6,0.021,0.029,97,75
2016-08-10 04,서울 강남구 ,강남구,111261,0.004,0.6,0.022,0.027,97,68
2016-08-10 05,서울 강남구 ,강남구,111261,0.006,0.5,0.036,0.018,103,79
2016-08-10 06,서울 강남구 ,강남구,111261,0.006,0.5,0.074,0.014,65,58
2016-08-10 07,서울 강남구 ,강남구,111261,0.005,0.5,0.058,0.023,68,56
2016-08-10 08,서울 강남구 ,강남구,111261,0.006,0.5,0.045,0.032,79,61
2016-08-10 09,서울 강남구 ,강남구,111261,0.008,0.5,0.046,0.033,71,35
2016-08-10 10,서울 강남구 ,강남구,111261,0.005,0.5,0.07,0.027,0,22
2016-08-10 11,서울 강남구 ,강남구,111261,0.005,0.4,0.066,0.021,64,0
2016-08-10 12,서울 강남구 ,강남구,111261,0.005,0.4,0.069,0.025,56,22
2016-08-10 13,서울 강남구 ,강남구,111261,0.005,0.4,0.085,0.027,0,55
2016-08-10 14,서울 강남구 ,강남구,111261,0.005,0.4,0.075,0.029,0,46
2016-08-10 15,서울 강남구 ,강남구,111261,0.006,0.4,0.057,0.033,57,41
2016-08-10 16,서울 강남구 ,강남구,111261,0.005,0.3,0.047,0.026,30,0
2016-08-10 17,서울 강남구 ,강남구,111261,0.005,0.3,0.039,0.031,29,25
2016-08-10 18,서울 강남구 ,강남구,111261,0.005,0.3,0.034,0.034,31,25
2016-08-10 19,서울 강남구 ,강남구,111261,0.005,0.4,0.019,0.043,44,25
2016-08-10 20,서울 강남구 ,강남구,111261,0.005,0.4,0.003,0.047,32,20
2016-08-10 21,서울 강남구 ,강남구,111261,0.005,0.4,0.001,0.041,36,19
2016-08-10 22,서울 강남구 ,강남구,111261,0.005,0.4,0.004,0.037,35,25
